id	det_well	cell_id	pert_id	pert_mfc_desc	pert_type	count_mean	count_cv	qc_f_logp	qc_iqr	qc_slope
LJP009_A375_24H_X1_B20:A01	A01	A375	CMAP-001	BO	lma_x	90.00	13.00	0.4	2.09	78
LJP009_A375_24H_X1_B20:A02	A02	A375	CMAP-002	RMCF7	lma_x	92.00	12.00	8.5	9.03	61
LJP009_A375_24H_X1_B20:A20	A20	A375	BRD-A10523515	GSK429286A	trt_cp	79.00	14.00	3.6	13.83	72
LJP009_A375_24H_X1_B20:B01	B01	A375	CMAP-003	PMCF7	lma_x	96.00	13.00	10.1	6.89	60
LJP009_A375_24H_X1_B20:B02	B02	A375	CMAP-002	RMCF7	lma_x	95.00	12.00	8.2	8.00	61
LJP009_A375_24H_X1_B20:B13	B13	A375	BRD-U07805514	AZD0530; SARACATINIB	trt_cp	81.00	15.00	3.8	39.55	69
LJP009_A375_24H_X1_B20:C19	C19	A375	BRD-K79090631	CGP60474	trt_cp	102.00	14.00	4.1	16.15	65
LJP009_A375_24H_X1_B20:C20	C20	A375	BRD-K79090631	CGP60474	trt_cp	104.00	14.00	3.8	104.64	70
LJP009_A375_24H_X1_B20:C23	C23	A375	BRD-K79090631	CGP60474	trt_cp	90.00	15.00	3.9	23.58	66
LJP009_A375_24H_X1_B20:D01	D01	A375	BRD-K37764012	PF-3758309	trt_cp	94.00	13.00	4.0	14.73	67
LJP009_A375_24H_X1_B20:E19	E19	A375	BRD-K44227013	AP24534; PONATINIB	trt_cp	102.00	14.00	4.0	37.75	68
LJP009_A375_24H_X1_B20:F19	F19	A375	BRD-K87904882	CHELERYTHRINE CHLORIDE	trt_cp	88.00	14.00	1.3	580.61	73
LJP009_A375_24H_X1_B20:L16	L16	A375	BRD-K78790801	KIN001-269	trt_cp	35.00	20.00	6.3	9.62	63
