sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:A01	1	power	4.40228	77.2021	1.16439	0.30532	1.10825	-32461.4	-5.25796	12.0089	-2368887.82,2303965.04	-53.88,43.36	-28.98,53.00	0.322714	0.153393	2.61438	1.90593	0.676913	0	7.54838	2.81788	0.358454	16.323	118.341	333.472	1612.25
LJP009_A375_24H_X1_B20:A02	1	power	1.80162	60.9673	4.91147	0.99187	9.99035	1.09464	1.15915	-5.79051	-2.07,4.26	0.22,2.10	-17.10,5.52	0.992036	0.990046	0.283489	498.289	8.39557	2	8.63707	8.96254	1.75236	13.2181	123.503	1106.9	14680.6
LJP009_A375_24H_X1_B20:A03	1	power	2.11438	64.6881	4.42411	0.935654	5.93712	0.0138346	2.75593	0.209744	-0.08,0.11	0.20,5.32	-6.98,7.40	0.953836	0.942295	0.682552	82.647	5.34277	6	7.8602	13.8068	1.75986	10.8545	73.865	1019.84	32769.1
LJP009_A375_24H_X1_B20:A04	1	power	1.88467	62.0498	4.71193	0.985259	8.82624	0.0633327	2.14892	-0.65517	-0.12,0.25	1.08,3.22	-4.94,3.62	0.992171	0.990214	0.281077	506.944	8.42525	1	7.7057	9.26455	1.73407	12.9706	72.4902	671.589	11254.8
LJP009_A375_24H_X1_B20:A05	1	power	1.64837	58.7564	5.37918	0.991203	9.83606	6.07627	0.620468	-15.013	-12.64,24.79	-0.19,1.43	-45.54,15.51	0.992407	0.990509	0.276814	522.802	8.47835	0	8.39623	8.59924	1.86576	13.9052	96.0005	825.531	10520.8
LJP009_A375_24H_X1_B20:A06	1	power	1.72993	59.9696	5.14845	0.9824	8.47931	0.146668	1.82958	-0.932661	-0.34,0.64	0.64,3.02	-6.71,4.84	0.987101	0.983876	0.360797	306.098	7.55776	1	8.40218	9.44579	1.85461	17.2501	100.386	948.229	17014.8
LJP009_A375_24H_X1_B20:A07	1	power	1.77675	60.6281	4.95768	0.989417	9.4745	0.14203	1.84523	-1.21923	-0.22,0.51	0.93,2.76	-5.77,3.33	0.993529	0.991911	0.255553	614.107	8.75601	1	8.2431	9.33441	1.80025	17.3211	100.865	941.516	12450.7
LJP009_A375_24H_X1_B20:A08	1	power	1.79632	60.8955	4.95745	0.990657	9.71839	0.485145	1.42197	-3.99494	-1.00,1.97	0.39,2.45	-12.74,4.75	0.991693	0.989616	0.289541	477.51	8.32218	0	8.39565	10.0462	1.85595	13.3698	92.2484	926.743	14314.9
LJP009_A375_24H_X1_B20:A09	1	power	1.79228	60.8407	4.90556	0.989853	9.55688	0.12562	1.89694	-0.930022	-0.17,0.42	1.06,2.73	-4.84,2.98	0.994529	0.993161	0.234976	727.105	9.04768	1	8.02882	9.71718	1.83624	14.6489	84.6753	822.806	18094.4
LJP009_A375_24H_X1_B20:A10	1	power	1.68476	59.3085	5.32439	0.981225	8.35275	0.0841933	2.01626	-0.0580568	-0.17,0.34	0.92,3.11	-4.38,4.26	0.988712	0.985889	0.337521	350.343	7.78946	1	8.30985	8.87571	1.85119	16.5633	96.7278	858.529	10345.3
